Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
2001	SMAL	0.296	0	0	0	0	0	0	0	0	0	0	0	0	0.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	SMAL	10.02	0	0	0	0	0	0	7.465	0	0	0	0	0	2.192	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL	2.955	0	0	0	0	0	0	0	0	0	0	0	0	2.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	SMAL	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	SMAL1	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0
1992	SMAL1	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL1	0.297	0	0	0	0	0	0	0	0	0	0	0	0	0.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL1	99.085	0	0	0	0	0	0	0.083	0	0.12	0	0	0	65.327	0	0	0	0	0	0	0	0	0	0	33.555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL1	1.234	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	1.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
